07. Mar 15:35:30, Step 0: 0.215429403202 8.77800447269
07. Mar 16:23:49, Step 0: 0.230902474527 4.41804963737
07. Mar 16:47:52, Step 0: 0.249767103348 3.88489071826
07. Mar 17:10:54, Step 0: 0.273216885007 3.61129873991
07. Mar 17:33:49, Step 0: 0.289592430859 3.43977054665
07. Mar 17:56:29, Step 0: 0.311673944687 3.32650816467
07. Mar 18:19:14, Step 0: 0.322416302766 3.24336689371
07. Mar 18:42:36, Step 0: 0.332489082969 3.17625602865
07. Mar 19:04:45, Step 0: 0.341077147016 3.12226886848
07. Mar 19:26:55, Step 0: 0.347059679767 3.07651500503
07. Mar 19:49:08, Step 0: 0.354978165939 3.03816196536
07. Mar 20:10:47, Step 0: 0.354978165939 3.03816196536
08. Mar 10:03:58, Step 0: 0.354978165939 3.03816196536
08. Mar 10:25:54, Step 0: 0.359563318777 3.00556008033
08. Mar 10:47:38, Step 0: 0.364716157205 2.97697394822
08. Mar 11:09:24, Step 0: 0.370029112082 2.95082868796
08. Mar 11:31:24, Step 0: 0.37422125182 2.92789406913
08. Mar 11:53:21, Step 0: 0.377176128093 2.90757794373
08. Mar 12:15:04, Step 0: 0.382183406114 2.88905171502
08. Mar 12:36:39, Step 0: 0.384701601164 2.87289385023
08. Mar 12:58:48, Step 0: 0.387074235808 2.85749982671
08. Mar 13:20:36, Step 0: 0.391673944687 2.84272280452
08. Mar 13:42:23, Step 0: 0.393915574964 2.82956421374
08. Mar 14:04:02, Step 0: 0.395836972344 2.81603145476
08. Mar 14:25:58, Step 0: 0.398529839884 2.80614005246
08. Mar 14:47:30, Step 0: 0.398893740902 2.79576845623
08. Mar 15:09:13, Step 0: 0.402474526929 2.78515881514
08. Mar 15:30:32, Step 0: 0.404075691412 2.77524917186
08. Mar 15:52:11, Step 0: 0.407147016012 2.76739528762
08. Mar 16:13:41, Step 0: 0.410232896652 2.7590602974
08. Mar 16:35:25, Step 0: 0.410655021834 2.74960622273
08. Mar 16:57:05, Step 0: 0.414323144105 2.74167960257
08. Mar 17:18:55, Step 0: 0.414978165939 2.73735990923
08. Mar 17:40:45, Step 0: 0.415269286754 2.72882198805
08. Mar 18:02:55, Step 0: 0.418296943231 2.72179282436
08. Mar 18:24:51, Step 0: 0.420538573508 2.71523405008
08. Mar 18:46:52, Step 0: 0.420596797671 2.71018061312
08. Mar 19:09:07, Step 0: 0.421644832606 2.70190581814
08. Mar 19:31:19, Step 0: 0.42365356623 2.69823071563
08. Mar 19:53:01, Step 0: 0.424177583697 2.69210698885
08. Mar 20:14:50, Step 0: 0.425545851528 2.68567567346
