12. Mar 21:05:57, Step 0: 0.210043668122 18.5341088184
12. Mar 22:12:50, Step 0: 0.420276564774 2.63820966553
12. Mar 23:26:41, Step 0: 0.455400291121 2.47877524552
13. Mar 00:39:26, Step 0: 0.477540029112 2.40785087447
13. Mar 01:50:01, Step 0: 0.488588064047 2.3514403994
13. Mar 02:58:38, Step 0: 0.501004366812 2.30646223386
13. Mar 04:02:44, Step 0: 0.50807860262 2.27157247326
13. Mar 05:06:44, Step 0: 0.510975254731 2.25182455456
13. Mar 06:07:27, Step 0: 0.513449781659 2.22796374969
13. Mar 07:09:04, Step 0: 0.525050946143 2.1959622211
13. Mar 08:12:40, Step 0: 0.522343522562 2.18111041086
13. Mar 09:19:34, Step 0: 0.530596797671 2.15662074803
13. Mar 10:24:46, Step 0: 0.52941775837 2.14348815066
1e-4 to 5e-5
13. Mar 12:19:53, Step 0: 0.52941775837 2.14348815066
13. Mar 13:20:39, Step 0: 0.537831149927 2.11928464328
13. Mar 14:29:53, Step 0: 0.540349344978 2.10942607476
13. Mar 15:36:48, Step 0: 0.540858806405 2.11798451705
13. Mar 16:44:18, Step 0: 0.544468704512 2.09496416558
13. Mar 17:44:17, Step 0: 0.545676855895 2.0868501193
13. Mar 18:45:19, Step 0: 0.545676855895 2.08000131335
13. Mar 19:43:32, Step 0: 0.549679767103 2.08779158215
13. Mar 20:47:50, Step 0: 0.546899563319 2.06894682023
13. Mar 21:58:19, Step 0: 0.548034934498 2.06550793848
13. Mar 23:08:17, Step 0: 0.54672489083 2.07002759861
14. Mar 00:20:06, Step 0: 0.552096069869 2.05512083741
14. Mar 01:32:14, Step 0: 0.547714701601 2.05950711034
14. Mar 02:34:52, Step 0: 0.551673944687 2.05462377056
14. Mar 03:28:30, Step 0: 0.552285298399 2.05622943329
14. Mar 04:27:09, Step 0: 0.555909752547 2.03818362653
14. Mar 05:27:50, Step 0: 0.551193595342 2.04184846849
14. Mar 06:31:24, Step 0: 0.558122270742 2.03667783319
14. Mar 07:43:04, Step 0: 0.552765647744 2.0381647015
14. Mar 08:52:57, Step 0: 0.551586608443 2.02973212201
14. Mar 09:56:00, Step 0: 0.558588064047 2.02889577283
14. Mar 10:57:33, Step 0: 0.556826783115 2.03222498066
14. Mar 11:57:11, Step 0: 0.556055312955 2.02659854875
14. Mar 12:56:54, Step 0: 0.560101892285 2.01860785712
14. Mar 14:04:39, Step 0: 0.559141193595 2.01391148744
14. Mar 15:12:11, Step 0: 0.561164483261 2.01036019562
14. Mar 16:18:01, Step 0: 0.559184861718 2.02182898711
14. Mar 17:22:03, Step 0: 0.556550218341 2.023548656
14. Mar 18:17:51, Step 0: 0.563478893741 2.00896749639
14. Mar 19:13:59, Step 0: 0.562416302766 2.01076879369
14. Mar 20:14:17, Step 0: 0.563828238719 2.00239481336
14. Mar 21:18:36, Step 0: 0.565720524017 1.99872335904
14. Mar 22:27:25, Step 0: 0.560975254731 2.0019365086
14. Mar 23:38:55, Step 0: 0.559767103348 2.00753694712
15. Mar 00:47:47, Step 0: 0.562125181951 1.99464832292
15. Mar 01:52:09, Step 0: 0.563682678311 2.00511591234
15. Mar 02:52:58, Step 0: 0.562663755459 2.00232846177
15. Mar 03:57:21, Step 0: 0.565109170306 1.99594115276
15. Mar 05:06:08, Step 0: 0.557947598253 1.99974941446
15. Mar 06:11:56, Step 0: 0.562940320233 1.98760661856
15. Mar 07:18:29, Step 0: 0.565705967977 1.99019205021
15. Mar 08:29:33, Step 0: 0.56250363901 1.9881312749
15. Mar 09:33:59, Step 0: 0.56499272198 1.98345314621
15. Mar 10:44:12, Step 0: 0.567205240175 1.98222073964
5e-5 to 2.5e-5
15. Mar 11:33:49, Step 0: 0.567205240175 1.98222073964
15. Mar 12:30:57, Step 0: 0.569301310044 1.97100390175
15. Mar 13:32:47, Step 0: 0.570625909753 1.97224428875
15. Mar 14:36:52, Step 0: 0.569796215429 1.96753606243
15. Mar 15:35:12, Step 0: 0.569825327511 1.96769407496
15. Mar 16:28:29, Step 0: 0.571819505095 1.97022455565
15. Mar 17:25:43, Step 0: 0.569985443959 1.9681243342
15. Mar 18:24:02, Step 0: 0.57114992722 1.9662359362
15. Mar 19:21:11, Step 0: 0.572343522562 1.9653010857
15. Mar 20:21:56, Step 0: 0.569534206696 1.96692430538
15. Mar 21:20:05, Step 0: 0.570684133916 1.96773853736
