12. Mar 21:10:57, Step 0: 0.184017467249 84.2965254571
12. Mar 22:21:06, Step 0: 0.455545851528 2.31455963525
12. Mar 23:33:51, Step 0: 0.489388646288 2.18587906044
13. Mar 00:46:13, Step 0: 0.505065502183 2.11938656478
13. Mar 02:01:20, Step 0: 0.51192139738 2.0721378526
13. Mar 03:15:37, Step 0: 0.525065502183 2.03436920849
13. Mar 04:29:58, Step 0: 0.52576419214 2.04242032338
13. Mar 05:45:45, Step 0: 0.537001455604 1.99743828163
13. Mar 06:57:37, Step 0: 0.535560407569 1.99384982379
13. Mar 08:13:33, Step 0: 0.541179039301 1.96913784895
13. Mar 09:28:00, Step 0: 0.538995633188 1.9779231635
13. Mar 10:39:12, Step 0: 0.544512372635 1.94373134859
1e-4 to 5e-5
13. Mar 12:14:59, Step 0: 0.544512372635 1.94373134859
13. Mar 13:25:09, Step 0: 0.55231441048 1.92728550425
13. Mar 14:39:56, Step 0: 0.553420669578 1.92059288675
13. Mar 15:49:58, Step 0: 0.552634643377 1.91654065186
13. Mar 16:59:36, Step 0: 0.555749636099 1.91620136953
13. Mar 18:11:51, Step 0: 0.555225618632 1.90775966955
13. Mar 19:24:21, Step 0: 0.552765647744 1.91812875764
13. Mar 20:40:44, Step 0: 0.555167394469 1.90776183566
13. Mar 21:58:54, Step 0: 0.561746724891 1.8988503163
13. Mar 23:11:46, Step 0: 0.553959243086 1.90658095988
14. Mar 00:29:19, Step 0: 0.56229985444 1.8937852507
14. Mar 01:41:58, Step 0: 0.564818049491 1.88427109479
14. Mar 02:55:25, Step 0: 0.561659388646 1.89917147165
14. Mar 04:09:32, Step 0: 0.562969432314 1.88624693551
14. Mar 05:21:06, Step 0: 0.563726346434 1.88531721529
14. Mar 06:32:51, Step 0: 0.561470160116 1.8889161617
14. Mar 07:50:26, Step 0: 0.566826783115 1.87696501014
14. Mar 09:06:18, Step 0: 0.563973799127 1.87592059973
14. Mar 10:20:59, Step 0: 0.562052401747 1.88212048262
14. Mar 11:31:16, Step 0: 0.564119359534 1.88124708144
14. Mar 12:44:34, Step 0: 0.563580786026 1.86988157952
14. Mar 13:57:23, Step 0: 0.563799126638 1.87364765895
14. Mar 15:13:00, Step 0: 0.566986899563 1.86891150112
14. Mar 16:30:43, Step 0: 0.567161572052 1.86575991489
14. Mar 17:38:22, Step 0: 0.568922852984 1.86329806591
14. Mar 18:48:04, Step 0: 0.56981077147 1.85977390755
14. Mar 20:00:32, Step 0: 0.571528384279 1.85700925821
14. Mar 21:14:17, Step 0: 0.570116448326 1.86361146884
14. Mar 22:31:03, Step 0: 0.5734643377 1.85784640543
14. Mar 23:48:56, Step 0: 0.568544395924 1.85943770339
15. Mar 01:03:17, Step 0: 0.571877729258 1.85487916715
15. Mar 02:16:43, Step 0: 0.568820960699 1.85312301629
15. Mar 03:30:23, Step 0: 0.565866084425 1.85341589811
15. Mar 04:46:28, Step 0: 0.568617176128 1.85205261247
15. Mar 05:57:48, Step 0: 0.569825327511 1.84750878303
15. Mar 07:07:57, Step 0: 0.575909752547 1.84310153297
15. Mar 08:23:58, Step 0: 0.574570596798 1.84593219187
15. Mar 09:37:06, Step 0: 0.573784570597 1.84452797802
15. Mar 10:54:02, Step 0: 0.573639010189 1.84116057813
5e-5 to 2.5e-5
15. Mar 11:29:32, Step 0: 0.573639010189 1.84116057813
15. Mar 12:31:43, Step 0: 0.576084425036 1.83736143692
15. Mar 13:37:50, Step 0: 0.577510917031 1.83451800932
15. Mar 14:45:37, Step 0: 0.5765356623 1.83168963055
15. Mar 15:50:20, Step 0: 0.576477438137 1.83111766165
15. Mar 16:55:41, Step 0: 0.574002911208 1.83170593343
15. Mar 18:04:28, Step 0: 0.57326055313 1.83245084967
15. Mar 19:11:44, Step 0: 0.575181950509 1.83454297667
15. Mar 20:19:43, Step 0: 0.57673944687 1.82872763655
15. Mar 21:24:47, Step 0: 0.577438136827 1.83250933482
