12. Mar 21:12:16, Step 0: 0.206084425036 44.1579012652
12. Mar 22:21:01, Step 0: 0.476186317322 2.27102296358
12. Mar 23:32:27, Step 0: 0.499577874818 2.16523824551
13. Mar 00:44:39, Step 0: 0.50807860262 2.10436579742
13. Mar 01:56:33, Step 0: 0.514832605531 2.07095515271
13. Mar 03:11:20, Step 0: 0.524119359534 2.03985176463
13. Mar 04:22:15, Step 0: 0.528704512373 2.0267253236
13. Mar 05:33:14, Step 0: 0.536084425036 2.00419611066
13. Mar 06:42:49, Step 0: 0.540072780204 1.9899195755
13. Mar 07:49:38, Step 0: 0.542751091703 1.98215051184
13. Mar 08:56:25, Step 0: 0.549737991266 1.95948449151
13. Mar 10:02:53, Step 0: 0.544104803493 1.95957022415
13. Mar 11:08:32, Step 0: 0.552052401747 1.94224926854
1e-4 to 5e-5
13. Mar 12:13:47, Step 0: 0.552052401747 1.94224926854
13. Mar 13:21:38, Step 0: 0.557641921397 1.92049689356
13. Mar 14:34:45, Step 0: 0.554541484716 1.92163262291
13. Mar 15:47:20, Step 0: 0.556986899563 1.91508000496
13. Mar 16:58:28, Step 0: 0.558034934498 1.91283704781
13. Mar 18:10:21, Step 0: 0.55943231441 1.90853422738
13. Mar 19:24:20, Step 0: 0.561324599709 1.90342777755
13. Mar 20:39:46, Step 0: 0.560611353712 1.90399780835
13. Mar 21:53:53, Step 0: 0.563420669578 1.89384134173
13. Mar 23:08:58, Step 0: 0.558515283843 1.89957949969
14. Mar 00:22:50, Step 0: 0.565240174672 1.88867663476
14. Mar 01:39:38, Step 0: 0.565240174672 1.88635375928
14. Mar 02:53:09, Step 0: 0.565604075691 1.8895900521
14. Mar 04:08:20, Step 0: 0.56404657933 1.88642159295
14. Mar 05:21:06, Step 0: 0.568107714702 1.88034597677
14. Mar 06:32:51, Step 0: 0.565822416303 1.87786144056
14. Mar 07:49:01, Step 0: 0.56308588064 1.88058972193
14. Mar 09:02:56, Step 0: 0.564963609898 1.88868712332
14. Mar 10:19:00, Step 0: 0.569053857351 1.86983688911
14. Mar 11:31:23, Step 0: 0.566972343523 1.87849451676
14. Mar 12:45:16, Step 0: 0.566768558952 1.87369588356
14. Mar 13:57:23, Step 0: 0.56596797671 1.87066765198
14. Mar 15:11:32, Step 0: 0.570058224163 1.86513595918
14. Mar 16:22:44, Step 0: 0.567627365357 1.86696336389
14. Mar 17:35:13, Step 0: 0.572954876274 1.8639402626
14. Mar 18:46:00, Step 0: 0.573173216885 1.85860067017
14. Mar 19:59:18, Step 0: 0.571557496361 1.86259510394
14. Mar 21:10:52, Step 0: 0.571906841339 1.8597138263
14. Mar 22:26:55, Step 0: 0.57211062591 1.86283349081
14. Mar 23:42:25, Step 0: 0.570873362445 1.85497869453
15. Mar 00:58:43, Step 0: 0.571790393013 1.85682456824
15. Mar 02:14:20, Step 0: 0.573624454148 1.85585152568
15. Mar 03:28:18, Step 0: 0.575327510917 1.85061396876
15. Mar 04:45:43, Step 0: 0.571324599709 1.85506613725
15. Mar 05:57:47, Step 0: 0.57730713246 1.84301397624
15. Mar 07:07:57, Step 0: 0.572387190684 1.85211200968
15. Mar 08:23:15, Step 0: 0.576622998544 1.83895205083
15. Mar 09:34:38, Step 0: 0.574366812227 1.84849698841
15. Mar 10:51:47, Step 0: 0.575807860262 1.84158832924
5e-5 to 2.5e-5
15. Mar 11:30:06, Step 0: 0.575807860262 1.84158844324
15. Mar 12:31:19, Step 0: 0.574570596798 1.84632653917
15. Mar 13:35:30, Step 0: 0.571470160116 1.84273454715
15. Mar 14:43:55, Step 0: 0.577569141194 1.8357319469
15. Mar 15:48:25, Step 0: 0.574701601164 1.83894350037
15. Mar 16:51:22, Step 0: 0.57576419214 1.84422722978
15. Mar 17:56:17, Step 0: 0.573377001456 1.83767255972
15. Mar 19:00:01, Step 0: 0.575705967977 1.8390439398
15. Mar 20:05:18, Step 0: 0.574454148472 1.84734073796
15. Mar 21:08:25, Step 0: 0.575283842795 1.83553141006
to 1e-5
16. Mar 00:03:19, Step 0: 0.575283842795 1.83553141006
16. Mar 01:51:39, Step 0: 0.581717612809 1.82335771849
16. Mar 04:37:54, Step 0: 0.58250363901 1.8218472509
16. Mar 07:41:47, Step 0: 0.583013100437 1.81905980033
