12. Mar 21:04:26, Step 0: 0.201644832606 17.1320191311
12. Mar 22:09:48, Step 0: 0.431804949054 2.62677872408
12. Mar 23:19:21, Step 0: 0.458165938865 2.49906993776
13. Mar 00:33:41, Step 0: 0.474774381368 2.41365994426
13. Mar 01:36:02, Step 0: 0.482256186317 2.36931040867
13. Mar 02:36:38, Step 0: 0.494454148472 2.34349690633
13. Mar 03:42:55, Step 0: 0.502809315866 2.28981893086
13. Mar 04:47:37, Step 0: 0.507991266376 2.25363064011
13. Mar 05:50:48, Step 0: 0.506317321689 2.23389526209
13. Mar 06:55:28, Step 0: 0.511877729258 2.218139155
13. Mar 08:06:02, Step 0: 0.525531295488 2.20168761036
13. Mar 09:14:09, Step 0: 0.524890829694 2.17759240883
13. Mar 10:21:36, Step 0: 0.529650655022 2.15568977374
1e-4 to 5e-5
13. Mar 12:17:55, Step 0: 0.529650655022 2.15568977374
13. Mar 13:20:53, Step 0: 0.534745269287 2.13545938097
13. Mar 14:29:59, Step 0: 0.537030567686 2.13206473361
13. Mar 15:36:26, Step 0: 0.540029112082 2.12836272564
13. Mar 16:43:08, Step 0: 0.540320232897 2.11098681906
13. Mar 17:39:26, Step 0: 0.543114992722 2.11198779313
13. Mar 18:36:56, Step 0: 0.543013100437 2.10403084733
13. Mar 19:36:59, Step 0: 0.541295487627 2.09146668466
13. Mar 20:40:22, Step 0: 0.543449781659 2.0945868052
13. Mar 21:50:55, Step 0: 0.547263464338 2.08455312322
13. Mar 22:59:39, Step 0: 0.546491994178 2.09098740278
13. Mar 23:54:58, Step 0: 0.544381368268 2.08548227341
14. Mar 00:48:20, Step 0: 0.549796215429 2.08430823799
14. Mar 01:46:08, Step 0: 0.547831149927 2.06667627359
14. Mar 02:48:52, Step 0: 0.549519650655 2.07202225035
14. Mar 03:57:50, Step 0: 0.552066957787 2.06058424052
14. Mar 05:03:16, Step 0: 0.551048034934 2.06646057393
14. Mar 05:53:47, Step 0: 0.552008733624 2.05635164789
14. Mar 06:47:17, Step 0: 0.555065502183 2.05996313497
14. Mar 07:49:31, Step 0: 0.553580786026 2.04496585288
14. Mar 08:59:03, Step 0: 0.550946142649 2.04690555365
14. Mar 10:10:01, Step 0: 0.552721979622 2.04835434391
14. Mar 11:13:54, Step 0: 0.555356622999 2.04745551936
14. Mar 12:14:26, Step 0: 0.557234352256 2.03886492733
14. Mar 13:10:25, Step 0: 0.557772925764 2.03323940746
14. Mar 14:09:28, Step 0: 0.55672489083 2.03013889598
14. Mar 15:13:28, Step 0: 0.556812227074 2.03167296285
14. Mar 16:18:01, Step 0: 0.558762736536 2.02686874334
14. Mar 17:21:26, Step 0: 0.55807860262 2.02509685963
14. Mar 18:18:01, Step 0: 0.557831149927 2.03080286785
14. Mar 19:13:55, Step 0: 0.555735080058 2.02812212704
14. Mar 20:14:07, Step 0: 0.559446870451 2.01175312286
14. Mar 21:18:36, Step 0: 0.558981077147 2.03227263524
14. Mar 22:27:25, Step 0: 0.560160116448 2.0152011251
14. Mar 23:38:55, Step 0: 0.554949053857 2.02150338553
15. Mar 00:47:47, Step 0: 0.559694323144 2.01413425548
15. Mar 01:52:06, Step 0: 0.559898107715 2.01150344937
15. Mar 02:52:59, Step 0: 0.562736535662 2.00169162337
15. Mar 03:57:22, Step 0: 0.562794759825 2.00679636311
15. Mar 05:06:08, Step 0: 0.563347889374 2.00641672261
15. Mar 06:11:30, Step 0: 0.563784570597 2.00041794658
15. Mar 07:17:19, Step 0: 0.560902474527 2.0022862795
15. Mar 08:29:33, Step 0: 0.566826783115 1.99023947678
15. Mar 09:34:06, Step 0: 0.564381368268 2.0029751047
15. Mar 10:44:03, Step 0: 0.562649199418 1.99744945423
5e-5 to 2.5e-5

15. Mar 11:34:46, Step 0: 0.562649199418 1.99744945423
15. Mar 12:31:39, Step 0: 0.569243085881 1.98184109913
15. Mar 13:32:47, Step 0: 0.569155749636 1.98127836473
15. Mar 14:36:45, Step 0: 0.570218340611 1.97579307244
15. Mar 15:35:12, Step 0: 0.566943231441 1.97939475499
15. Mar 16:28:29, Step 0: 0.56864628821 1.9770494203
15. Mar 17:26:46, Step 0: 0.570203784571 1.98336171327
15. Mar 18:25:23, Step 0: 0.566797671033 1.97730570615
15. Mar 19:23:04, Step 0: 0.567248908297 1.98125898369
15. Mar 20:24:49, Step 0: 0.566986899563 1.97763518394
15. Mar 21:23:46, Step 0: 0.569708879185 1.98030634823
