01. 11:53:15, batch 1,  layers8filters64.ckpt wr: 0.54,  wr: 0.46
01. 11:54:07, batch 2,  layers8filters64.ckpt wr: 0.49, drill_1.ckpt wr: 0.48
01. 11:55:04, batch 3,  layers8filters64.ckpt wr: 0.45, drill_2.ckpt wr: 0.52
01. 11:56:01, batch 4,  layers8filters64.ckpt wr: 0.41, drill_3.ckpt wr: 0.53
01. 11:56:56, batch 5,  layers8filters64.ckpt wr: 0.41, drill_1.ckpt wr: 0.57
01. 11:57:55, batch 6,  layers8filters64.ckpt wr: 0.52, drill_1.ckpt wr: 0.45
01. 11:58:49, batch 7,  layers8filters64.ckpt wr: 0.49, drill_4.ckpt wr: 0.50
01. 11:59:45, batch 8,  layers8filters64.ckpt wr: 0.48, drill_7.ckpt wr: 0.48
01. 12:00:46, batch 9,  layers8filters64.ckpt wr: 0.53, drill_1.ckpt wr: 0.42
01. 12:01:43, batch 10,  layers8filters64.ckpt wr: 0.55, drill_2.ckpt wr: 0.43
01. 12:02:36, batch 11,  layers8filters64.ckpt wr: 0.42, drill_4.ckpt wr: 0.53
01. 12:03:32, batch 12,  layers8filters64.ckpt wr: 0.45, drill_7.ckpt wr: 0.52
01. 12:04:31, batch 13,  layers8filters64.ckpt wr: 0.45, drill_9.ckpt wr: 0.55
01. 12:05:39, batch 14,  layers8filters64.ckpt wr: 0.50, drill_6.ckpt wr: 0.48
01. 12:06:46, batch 15,  layers8filters64.ckpt wr: 0.48, drill_2.ckpt wr: 0.49
01. 12:07:50, batch 16,  layers8filters64.ckpt wr: 0.45, drill_15.ckpt wr: 0.50
01. 12:08:54, batch 17,  layers8filters64.ckpt wr: 0.55, drill_10.ckpt wr: 0.41
01. 12:09:58, batch 18,  layers8filters64.ckpt wr: 0.41, drill_7.ckpt wr: 0.53
01. 12:10:51, batch 19,  layers8filters64.ckpt wr: 0.44, drill_15.ckpt wr: 0.51
01. 12:11:47, batch 20,  layers8filters64.ckpt wr: 0.46, drill_2.ckpt wr: 0.49
01. 12:12:48, batch 21,  layers8filters64.ckpt wr: 0.65, drill_12.ckpt wr: 0.31
