28. Feb 19:47:17, Step 0: 0.23125 675.709179687
28. Feb 19:47:38, Step 20: 0.225 9.28853251139
28. Feb 19:47:56, Step 40: 0.21875 8.94310811361
28. Feb 19:48:14, Step 60: 0.224479166667 7.55006256104
28. Feb 19:48:32, Step 80: 0.211979166667 6.66139017741
28. Feb 19:48:49, Step 100: 0.215625 6.11603444417
28. Feb 19:49:08, Step 120: 0.221875 5.78591868083
28. Feb 19:49:26, Step 140: 0.2265625 5.58350931803
28. Feb 19:49:43, Step 160: 0.242708333333 5.45591023763
28. Feb 19:50:01, Step 180: 0.246875 5.33837280273
28. Feb 19:50:19, Step 200: 0.247395833333 5.23166758219
28. Feb 19:50:38, Step 220: 0.24375 5.13741912842
28. Feb 19:50:55, Step 240: 0.24375 5.05086008708
28. Feb 19:51:13, Step 260: 0.238020833333 4.97492574056
28. Feb 19:51:31, Step 280: 0.240104166667 4.88854777018
28. Feb 19:51:50, Step 300: 0.244791666667 4.80954945882
28. Feb 19:52:06, Step 320: 0.246354166667 4.73219604492
28. Feb 19:52:24, Step 340: 0.248958333333 4.65118611654
28. Feb 19:52:42, Step 360: 0.247395833333 4.57517191569
28. Feb 19:53:20, Step 0: 0.246875 4.57319742839
28. Feb 19:53:37, Step 20: 0.246875 4.53539276123
28. Feb 19:53:55, Step 40: 0.244791666667 4.5030186971
28. Feb 19:54:15, Step 60: 0.245833333333 4.46506958008
28. Feb 19:54:32, Step 80: 0.240625 4.4277633667
28. Feb 19:55:31, Step 0: 0.240625 4.42620239258
28. Feb 19:55:50, Step 20: 0.24375 4.38542938232
28. Feb 19:56:08, Step 40: 0.244791666667 4.34480133057
28. Feb 19:56:27, Step 60: 0.246875 4.30561319987
28. Feb 19:56:45, Step 80: 0.241666666667 4.26644744873
28. Feb 19:57:03, Step 100: 0.247916666667 4.23131713867
28. Feb 19:57:59, Step 1000: 0.316145833333 3.22131118774
28. Feb 19:58:59, Step 2000: 0.373958333333 2.83937276204
28. Feb 19:59:58, Step 3000: 0.396875 2.70615971883
28. Feb 20:00:58, Step 4000: 0.410416666667 2.62414805094
28. Feb 20:01:53, Step 5000: 0.425 2.54808654785
28. Feb 20:02:51, Step 6000: 0.420833333333 2.5232304891
28. Feb 20:03:50, Step 7000: 0.439583333333 2.48534240723
28. Feb 20:04:49, Step 8000: 0.449479166667 2.43108342489
28. Feb 20:05:50, Step 9000: 0.438541666667 2.41411641439
28. Feb 20:06:57, Step 10000: 0.458333333333 2.35984624227
28. Feb 20:07:56, Step 11000: 0.449479166667 2.32615610758
28. Feb 20:08:58, Step 12000: 0.446354166667 2.38891677856
28. Feb 20:10:01, Step 13000: 0.4609375 2.31768213908
28. Feb 20:11:04, Step 14000: 0.472395833333 2.30927963257
28. Feb 20:12:05, Step 15000: 0.478645833333 2.27200876872
28. Feb 20:13:06, Step 16000: 0.4765625 2.26868260701
28. Feb 20:14:07, Step 17000: 0.480208333333 2.2922320048
28. Feb 20:15:08, Step 18000: 0.478645833333 2.27751134237
28. Feb 20:16:08, Step 19000: 0.4828125 2.2525990804
28. Feb 20:17:10, Step 20000: 0.490104166667 2.24933344523
28. Feb 20:18:14, Step 21000: 0.471354166667 2.23127695719
28. Feb 21:25:58, Step 0: 0.478125 2.2160086023
28. Feb 21:27:11, Step 20: 0.483463541667 2.20519873225
28. Feb 21:28:18, Step 40: 0.484765625 2.21551701326
28. Feb 21:29:23, Step 60: 0.4828125 2.21938942198
28. Feb 21:30:30, Step 80: 0.479036458333 2.21302446342
28. Feb 21:31:39, Step 100: 0.483072916667 2.20806887946
28. Feb 21:44:23, Step 0: 0.479166666667 2.23511047363
28. Feb 21:44:34, Step 20: 0.479166666667 2.21390355428
28. Feb 21:44:44, Step 40: 0.490625 2.21758728027
28. Feb 21:44:54, Step 60: 0.491666666667 2.22065887451
28. Feb 21:45:05, Step 80: 0.490625 2.22193806966
28. Feb 21:45:17, Step 100: 0.4875 2.2244951884
28. Feb 21:49:36, Step 0: 0.48046875 2.2261138916
28. Feb 21:50:09, Step 20: 0.481510416667 2.22952779134
28. Feb 21:50:46, Step 40: 0.480989583333 2.22911351522
28. Feb 21:51:19, Step 60: 0.481770833333 2.22764002482
28. Feb 21:51:55, Step 80: 0.477864583333 2.24169158936
28. Feb 21:52:28, Step 100: 0.48046875 2.22504628499
28. Feb 21:55:26, Step 4000: 0.486458333333 2.22158228556
28. Feb 21:58:20, Step 8000: 0.4875 2.20901489258
28. Feb 22:01:15, Step 12000: 0.49609375 2.19871444702
28. Feb 22:03:54, Step 16000: 0.502083333333 2.19297637939
28. Feb 22:06:29, Step 20000: 0.49609375 2.19617029826
28. Feb 22:09:01, Step 24000: 0.48359375 2.22248051961
28. Feb 22:11:30, Step 28000: 0.500260416667 2.19217478434
28. Feb 22:13:56, Step 32000: 0.49765625 2.15601730347
28. Feb 22:16:19, Step 36000: 0.50078125 2.16164093018
28. Feb 22:18:41, Step 40000: 0.504427083333 2.16674550374
28. Feb 22:20:56, Step 44000: 0.508072916667 2.15478185018
28. Feb 22:36:50, Step 0: 0.509114583333 2.15540033976
28. Feb 22:37:26, Step 20: 0.5078125 2.14608001709
28. Feb 22:38:00, Step 40: 0.504166666667 2.14479573568
28. Feb 22:38:37, Step 60: 0.509895833333 2.14524968465
28. Feb 22:39:11, Step 80: 0.510677083333 2.14337819417
