09. Feb 10:47:01, Step 0: 0.197916666667 45.0133382161
09. Feb 10:47:22, Step 20: 0.190104166667 8.54866333008
09. Feb 10:47:42, Step 40: 0.195833333333 7.36343841553
09. Feb 10:48:01, Step 60: 0.2 6.81594136556
09. Feb 10:48:21, Step 80: 0.203645833333 6.51979471842
09. Feb 10:48:41, Step 100: 0.2015625 6.27501678467
09. Feb 10:53:32, Step 3000: 0.358854166667 2.8688738505
09. Feb 10:58:42, Step 6000: 0.399479166667 2.6054570516
09. Feb 11:03:57, Step 9000: 0.43125 2.43427200317
09. Feb 11:09:10, Step 12000: 0.428645833333 2.38234812419
09. Feb 11:14:28, Step 15000: 0.4546875 2.33826293945
09. Feb 11:19:51, Step 18000: 0.465625 2.30272979736
09. Feb 11:25:10, Step 21000: 0.4703125 2.27557754517
09. Feb 11:30:48, Step 24000: 0.460416666667 2.29396947225
09. Feb 11:36:28, Step 27000: 0.485416666667 2.22604471842
09. Feb 11:41:58, Step 30000: 0.477083333333 2.24334157308
09. Feb 11:47:54, Step 33000: 0.4828125 2.2342725118
09. Feb 11:53:54, Step 36000: 0.474479166667 2.22990671794
09. Feb 11:59:42, Step 39000: 0.4703125 2.25002797445
09. Feb 12:05:39, Step 42000: 0.480729166667 2.21320546468
09. Feb 12:11:11, Step 45000: 0.491145833333 2.17387313843
09. Feb 12:17:10, Step 48000: 0.497395833333 2.20803324382
09. Feb 12:22:49, Step 51000: 0.483854166667 2.21578420003
09. Feb 12:28:13, Step 54000: 0.490104166667 2.19893544515
09. Feb 12:33:43, Step 57000: 0.495833333333 2.17166239421
09. Feb 12:39:10, Step 60000: 0.503125 2.12392069499
09. Feb 12:44:42, Step 63000: 0.505208333333 2.12226142883
09. Feb 12:50:22, Step 66000: 0.5046875 2.11876335144
09. Feb 12:56:06, Step 69000: 0.500520833333 2.1252263387
09. Feb 13:01:49, Step 72000: 0.5140625 2.10739593506
09. Feb 13:07:54, Step 75000: 0.514583333333 2.19073003133
09. Feb 13:13:39, Step 78000: 0.516145833333 2.10092290243
09. Feb 13:19:30, Step 81000: 0.511979166667 2.0839302063
09. Feb 13:25:26, Step 84000: 0.529166666667 2.06458269755
09. Feb 13:31:22, Step 87000: 0.522916666667 2.06185150146
09. Feb 13:36:56, Step 90000: 0.517708333333 2.07039820353
09. Feb 13:42:28, Step 93000: 0.516145833333 2.08454055786
09. Feb 13:48:00, Step 96000: 0.521875 2.10778745015
09. Feb 13:53:36, Step 99000: 0.521354166667 2.06202774048
09. Feb 13:59:10, Step 102000: 0.531770833333 2.04997304281
09. Feb 14:04:41, Step 105000: 0.5328125 2.04531669617
09. Feb 14:10:14, Step 108000: 0.527604166667 2.06025746663
09. Feb 14:16:01, Step 111000: 0.532291666667 2.03717765808
09. Feb 14:21:33, Step 114000: 0.530208333333 2.04152297974
09. Feb 14:27:01, Step 117000: 0.513541666667 2.06123949687
09. Feb 14:27:49, Step 0: 0.524479166667 2.03107134501
09. Feb 14:28:10, Step 20: 0.528125 2.03541577657
09. Feb 14:28:30, Step 40: 0.530729166667 2.03860867818
09. Feb 14:28:51, Step 60: 0.526041666667 2.05112012227
09. Feb 14:29:11, Step 80: 0.526041666667 2.03872121175
09. Feb 14:29:31, Step 100: 0.519270833333 2.05217844645
09. Feb 14:34:48, Step 3000: 0.530729166667 2.04191652934
09. Feb 14:40:01, Step 6000: 0.513020833333 2.09173240662
09. Feb 14:45:11, Step 9000: 0.527604166667 2.02669893901
09. Feb 14:50:27, Step 12000: 0.522395833333 2.02763150533
09. Feb 14:55:44, Step 15000: 0.5390625 2.01574211121
09. Feb 15:01:04, Step 18000: 0.5328125 2.00852686564
09. Feb 15:06:25, Step 21000: 0.536979166667 2.00788828532
09. Feb 15:11:45, Step 24000: 0.528645833333 2.12307535807
09. Feb 15:17:06, Step 27000: 0.533333333333 1.9972269694
09. Feb 15:22:39, Step 30000: 0.540104166667 2.01274922689
09. Feb 15:28:11, Step 33000: 0.535416666667 2.01308822632
09. Feb 15:33:57, Step 36000: 0.526041666667 2.02201309204
09. Feb 15:39:29, Step 39000: 0.528125 2.06921691895
09. Feb 15:45:04, Step 42000: 0.5171875 2.06446151733
09. Feb 15:50:55, Step 45000: 0.531770833333 1.99179407756
09. Feb 15:56:30, Step 48000: 0.540104166667 2.12583885193
09. Feb 16:02:03, Step 51000: 0.522395833333 2.03233769735
09. Feb 16:07:34, Step 54000: 0.5359375 2.04356587728
09. Feb 16:13:05, Step 57000: 0.532291666667 2.02158190409
09. Feb 16:18:34, Step 60000: 0.538020833333 1.98205668132
09. Feb 16:24:06, Step 63000: 0.547916666667 1.97035179138
09. Feb 16:29:35, Step 66000: 0.542708333333 1.98108940125
09. Feb 16:35:05, Step 69000: 0.5265625 2.00513356527
09. Feb 16:40:36, Step 72000: 0.5328125 1.97024408976
09. Feb 16:46:17, Step 75000: 0.528645833333 2.02403271993
09. Feb 16:52:06, Step 78000: 0.538541666667 1.98491414388
09. Feb 16:57:39, Step 81000: 0.542708333333 1.97601216634
09. Feb 17:03:13, Step 84000: 0.546354166667 1.9603544871
09. Feb 17:08:55, Step 87000: 0.5453125 1.95642382304
09. Feb 17:14:39, Step 90000: 0.5453125 1.97707061768
09. Feb 17:20:18, Step 93000: 0.53125 1.9906452179
09. Feb 17:25:53, Step 96000: 0.528125 2.02512779236
09. Feb 17:31:26, Step 99000: 0.538020833333 1.96086959839
09. Feb 17:37:00, Step 102000: 0.5421875 1.96840146383
09. Feb 17:42:28, Step 105000: 0.551041666667 1.95101064046
09. Feb 17:47:55, Step 108000: 0.544270833333 1.96818415324
09. Feb 17:53:19, Step 111000: 0.55 1.94762852987
09. Feb 17:58:45, Step 114000: 0.5546875 1.95577201843
09. Feb 18:04:12, Step 117000: 0.5390625 1.98137893677
09. Feb 18:05:00, Step 0: 0.54375 1.95435206095
09. Feb 18:05:21, Step 20: 0.544270833333 1.95341135661
09. Feb 18:05:40, Step 40: 0.542708333333 1.956310908
09. Feb 18:06:01, Step 60: 0.539583333333 1.97460619609
09. Feb 18:06:21, Step 80: 0.551041666667 1.95804608663
