1e-4
17. Mar 21:19:23, Step 0: 0.218054779206 7.75265
17. Mar 23:21:25, Step 0: 0.401006148686 0.0430446
18. Mar 01:22:29, Step 0: 0.443189863984 0.0396138
18. Mar 03:37:32, Step 0: 0.46481274455 0.0383026
18. Mar 05:51:26, Step 0: 0.483901621017 0.0370331
18. Mar 08:08:29, Step 0: 0.488699459661 0.0361444
18. Mar 10:30:52, Step 0: 0.502943916527 0.0354852
18. Mar 12:44:56, Step 0: 0.50435066145 0.0350993
18. Mar 14:54:20, Step 0: 0.517234954351 0.0346626
18. Mar 17:05:45, Step 0: 0.519834171791 0.0342087
18. Mar 19:33:03, Step 0: 0.523886715111 0.0340563
18. Mar 22:23:41, Step 0: 0.522843301658 0.0337802
19. Mar 01:14:43, Step 0: 0.525992174399 0.0334135
19. Mar 03:51:17, Step 0: 0.535932550773 0.0332665
19. Mar 06:26:07, Step 0: 0.53754425191 0.0329255
19. Mar 08:53:49, Step 0: 0.539323644494 0.0331039
19. Mar 11:34:47, Step 0: 0.541065772312 0.0327624
19. Mar 14:10:18, Step 0: 0.542528414384 0.032404
19. Mar 16:43:05, Step 0: 0.546627538662 0.0322469
19. Mar 19:16:38, Step 0: 0.542183715297 0.0321197
5e-5
19. Mar 20:20:48, Step 0: 0.542183715297 0.0321197
19. Mar 22:42:41, Step 0: 0.551015464878 0.0317736
20. Mar 00:57:49, Step 0: 0.552282466928 0.0316905
20. Mar 03:13:46, Step 0: 0.556502701696 0.0315805
20. Mar 05:37:26, Step 0: 0.553856903298 0.0315183
20. Mar 07:52:03, Step 0: 0.55743432085 0.0315305
20. Mar 10:16:56, Step 0: 0.555878516862 0.0315123
20. Mar 12:45:16, Step 0: 0.556465436929 0.0314565
20. Mar 15:11:34, Step 0: 0.557480901807 0.0313361
20. Mar 17:26:15, Step 0: 0.556437488355 0.031347
20. Mar 19:08:12, Step 0: 0.560257126887 0.031323
20. Mar 21:15:14, Step 0: 0.557629960872 0.0314591
20. Mar 23:41:31, Step 0: 0.559986957332 0.0313017
21. Mar 02:24:22, Step 0: 0.560844046954 0.031202
21. Mar 04:53:33, Step 0: 0.56003353829 0.0311748
21. Mar 07:21:38, Step 0: 0.561822247065 0.0311777
21. Mar 10:09:46, Step 0: 0.56021986212 0.0312517
21. Mar 12:58:07, Step 0: 0.56009875163 0.0311249
2.5e-5
21. Mar 15:27:55, Step 0: 0.56009875163 0.0311249
21. Mar 17:47:17, Step 0: 0.565632569406 0.0308135
21. Mar 20:10:36, Step 0: 0.564514626421 0.0308021
21. Mar 22:14:57, Step 0: 0.56644307807 0.0307945
22. Mar 00:41:59, Step 0: 0.563918390162 0.0308292
22. Mar 03:06:17, Step 0: 0.566070430408 0.0307486
22. Mar 05:34:44, Step 0: 0.564831376933 0.0308094
22. Mar 08:00:16, Step 0: 0.568632383082 0.0307266
22. Mar 10:16:45, Step 0: 0.566107695174 0.0307018
22. Mar 12:43:46, Step 0: 0.564505310229 0.030691
22. Mar 15:33:47, Step 0: 0.56335941867 0.0306811
22. Mar 18:19:57, Step 0: 0.567337432458 0.0306944
1e-5
22. Mar 21:11:16, Step 0: 0.567337432458 0.0306944
22. Mar 23:20:52, Step 0: 0.566918203838 0.0305686
23. Mar 01:44:41, Step 0: 0.569918017514 0.0305543
23. Mar 04:12:19, Step 0: 0.570020495621 0.0305353
23. Mar 06:31:57, Step 0: 0.569079560276 0.030546
23. Mar 08:40:27, Step 0: 0.570039128004 0.0305334
23. Mar 10:18:21, Step 0: 0.569983230855 0.0305418
23. Mar 12:18:08, Step 0: 0.569126141233 0.0305406
23. Mar 14:14:12, Step 0: 0.571268865288 0.0305085
23. Mar 16:27:38, Step 0: 0.570122973728 0.0305089
23. Mar 18:33:44, Step 0: 0.570831004285 0.0304843
23. Mar 20:59:29, Step 0: 0.571566983417 0.0304917
