1e-4
1e-4
17. Mar 21:18:58, Step 0: 0.202468790758 2.19271
17. Mar 23:40:04, Step 0: 0.457359791317 0.0364411
18. Mar 01:39:51, Step 0: 0.486472889883 0.0341029
18. Mar 03:46:24, Step 0: 0.504937581517 0.0331
18. Mar 05:54:44, Step 0: 0.507238680827 0.0325794
18. Mar 08:11:37, Step 0: 0.523495435066 0.0319779
18. Mar 10:48:40, Step 0: 0.532997950438 0.0313773
18. Mar 13:19:36, Step 0: 0.531227874045 0.0312852
18. Mar 15:51:25, Step 0: 0.537311347121 0.0308926
18. Mar 18:51:00, Step 0: 0.538792621576 0.0308499
18. Mar 21:43:23, Step 0: 0.542248928638 0.0305993
19. Mar 01:00:35, Step 0: 0.54564933855 0.0304546
19. Mar 03:51:17, Step 0: 0.549189491336 0.0304242
19. Mar 06:26:08, Step 0: 0.552869386995 0.0302009
19. Mar 08:55:01, Step 0: 0.553428358487 0.0300402
19. Mar 11:50:20, Step 0: 0.556027575927 0.0299657
19. Mar 14:18:54, Step 0: 0.555245015838 0.0299002
19. Mar 16:54:06, Step 0: 0.550381963853 0.0300808
19. Mar 19:42:33, Step 0: 0.554387926216 0.0298531
5e-5
19. Mar 20:19:37, Step 0: 0.554387926216 0.0298531
19. Mar 23:05:55, Step 0: 0.562493012856 0.0294505
20. Mar 01:08:46, Step 0: 0.565474194149 0.0293262
20. Mar 03:31:10, Step 0: 0.565092230296 0.0292974
20. Mar 05:50:42, Step 0: 0.565669834172 0.0292287
20. Mar 08:19:08, Step 0: 0.567262902925 0.0292283
20. Mar 10:45:23, Step 0: 0.567318800075 0.0291883
20. Mar 13:17:53, Step 0: 0.56867896404 0.0290931
20. Mar 15:58:37, Step 0: 0.567002049562 0.0291917
20. Mar 18:43:29, Step 0: 0.567384013415 0.0292129
20. Mar 21:19:55, Step 0: 0.566834358114 0.0290626
20. Mar 23:57:00, Step 0: 0.570383827091 0.0290062
21. Mar 02:40:45, Step 0: 0.567691447736 0.029068
21. Mar 05:04:44, Step 0: 0.570039128004 0.028975
21. Mar 07:45:26, Step 0: 0.569191354574 0.0289805
21. Mar 10:36:14, Step 0: 0.568576485933 0.0289589
21. Mar 13:44:35, Step 0: 0.570085708962 0.0289611
2.5e-5
2.5e-5
21. Mar 15:27:14, Step 0: 0.570085708962 0.0289611
21. Mar 18:03:52, Step 0: 0.573383640768 0.0287763
21. Mar 20:17:04, Step 0: 0.573849450345 0.0287574
21. Mar 22:17:32, Step 0: 0.574287311347 0.028683
22. Mar 00:52:07, Step 0: 0.573514067449 0.0287481
22. Mar 03:21:46, Step 0: 0.572833985467 0.0287538
22. Mar 05:49:32, Step 0: 0.574315259922 0.0286687
22. Mar 08:20:39, Step 0: 0.575107136203 0.0286798
22. Mar 11:04:43, Step 0: 0.573160052171 0.0286986
22. Mar 13:56:33, Step 0: 0.576001490591 0.0286295
22. Mar 17:02:22, Step 0: 0.575675423887 0.0286237
22. Mar 19:57:36, Step 0: 0.574082355133 0.028679
1e-5
22. Mar 21:10:15, Step 0: 0.574082355133 0.028679
22. Mar 23:34:42, Step 0: 0.577659772685 0.0285519
23. Mar 02:03:06, Step 0: 0.578144214645 0.0285228
23. Mar 04:36:38, Step 0: 0.577054220235 0.0285531
23. Mar 07:09:47, Step 0: 0.577920626048 0.0285635
23. Mar 09:30:05, Step 0: 0.578470281349 0.0285162
23. Mar 12:07:29, Step 0: 0.578153530837 0.0285002
23. Mar 14:17:50, Step 0: 0.578134898454 0.0285174
23. Mar 16:29:02, Step 0: 0.577939258431 0.0285214
23. Mar 18:51:13, Step 0: 0.578023104155 0.0285199
23. Mar 21:24:34, Step 0: 0.577948574623 0.0285106
