1e-4
1e-4
17. Mar 21:18:58, Step 0: 0 nan
17. Mar 23:40:04, Step 0: 0 0.0432643
18. Mar 01:39:51, Step 0: 0 0.0349347
18. Mar 03:46:24, Step 0: 0 0.0334985
18. Mar 05:54:44, Step 0: 0 0.0326308
18. Mar 08:11:37, Step 0: 0 0.0321152
18. Mar 10:48:40, Step 0: 0 0.0316183
18. Mar 13:19:36, Step 0: 0 0.0313284
18. Mar 15:51:25, Step 0: 0 0.0310543
18. Mar 18:51:00, Step 0: 0 0.0308264
18. Mar 21:43:23, Step 0: 0 0.030638
19. Mar 01:00:35, Step 0: 0 0.030442
19. Mar 03:51:17, Step 0: 0 0.0302999
19. Mar 06:26:08, Step 0: 0 0.0300166
19. Mar 08:55:01, Step 0: 0 0.0299082
19. Mar 11:50:20, Step 0: 0 0.0298525
19. Mar 14:18:54, Step 0: 0 0.0297011
19. Mar 16:54:06, Step 0: 0 0.0296709
19. Mar 19:42:33, Step 0: 0 0.0295657
5e-5
19. Mar 20:19:37, Step 0: 0 nan
19. Mar 23:05:55, Step 0: 0 0.0292978
20. Mar 01:08:46, Step 0: 0 0.0292405
20. Mar 03:31:10, Step 0: 0 0.0291869
20. Mar 05:50:42, Step 0: 0 0.0291813
20. Mar 08:19:08, Step 0: 0 0.0290671
20. Mar 10:45:23, Step 0: 0 0.0289878
20. Mar 13:17:53, Step 0: 0 0.0289728
20. Mar 15:58:37, Step 0: 0 0.0289967
20. Mar 18:43:29, Step 0: 0 0.0289294
20. Mar 21:19:55, Step 0: 0 0.0288667
20. Mar 23:57:00, Step 0: 0 0.0288479
21. Mar 02:40:45, Step 0: 0 0.0288415
21. Mar 05:04:44, Step 0: 0 0.0287849
21. Mar 07:45:26, Step 0: 0 0.0287809
21. Mar 10:36:14, Step 0: 0 0.0286808
21. Mar 13:44:35, Step 0: 0 0.028667
2.5e-5
2.5e-5
21. Mar 15:27:14, Step 0: 0 nan
21. Mar 18:03:52, Step 0: 0 0.0285828
21. Mar 20:17:04, Step 0: 0 0.0285408
21. Mar 22:17:32, Step 0: 0 0.0285514
22. Mar 00:52:07, Step 0: 0 0.028492
22. Mar 03:21:46, Step 0: 0 0.0285037
22. Mar 05:49:32, Step 0: 0 0.0285029
22. Mar 08:20:39, Step 0: 0 0.0284574
22. Mar 11:04:43, Step 0: 0 0.0284241
22. Mar 13:56:33, Step 0: 0 0.028501
22. Mar 17:02:22, Step 0: 0 0.0284657
22. Mar 19:57:36, Step 0: 0 0.0284306
1e-5
22. Mar 21:10:15, Step 0: 0 nan
22. Mar 23:34:42, Step 0: 0 0.0283682
23. Mar 02:03:06, Step 0: 0 0.0283782
23. Mar 04:36:38, Step 0: 0 0.0283972
23. Mar 07:09:47, Step 0: 0 0.0283676
23. Mar 09:30:05, Step 0: 0 0.0283628
23. Mar 12:07:29, Step 0: 0 0.0283145
23. Mar 14:17:50, Step 0: 0 0.028348
23. Mar 16:29:02, Step 0: 0 0.0283172
23. Mar 18:51:13, Step 0: 0 0.0283152
23. Mar 21:24:34, Step 0: 0 0.0283571
