1e-4
17. Mar 21:19:17, Step 0: 0.217691447736 0.789481
17. Mar 23:21:25, Step 0: 0.430100614869 0.0408206
18. Mar 01:20:40, Step 0: 0.451481274455 0.0387779
18. Mar 03:30:55, Step 0: 0.478218744177 0.0377647
18. Mar 05:33:10, Step 0: 0.484740078256 0.0368792
18. Mar 07:01:19, Step 0: 0.489733556922 0.0361969
18. Mar 08:36:41, Step 0: 0.498593255077 0.0358639
18. Mar 10:48:39, Step 0: 0.501947084032 0.0353649
18. Mar 13:00:16, Step 0: 0.513340786287 0.0349562
18. Mar 15:19:16, Step 0: 0.514514626421 0.0347125
18. Mar 17:49:10, Step 0: 0.520896217626 0.0342768
18. Mar 20:09:18, Step 0: 0.519452207937 0.0341694
18. Mar 22:38:42, Step 0: 0.524268678964 0.0338901
19. Mar 01:21:30, Step 0: 0.524818334265 0.0337029
19. Mar 03:57:59, Step 0: 0.529159679523 0.0335415
19. Mar 06:26:08, Step 0: 0.533845723868 0.0332904
19. Mar 08:53:49, Step 0: 0.535345630706 0.0330981
19. Mar 11:34:47, Step 0: 0.535979131731 0.0331437
19. Mar 14:10:18, Step 0: 0.543115334451 0.0327827
19. Mar 16:43:05, Step 0: 0.540255263648 0.0327665
19. Mar 19:16:38, Step 0: 0.540441587479 0.0327103
5e-5
19. Mar 20:20:36, Step 0: 0.540441587479 0.0327103
19. Mar 22:42:41, Step 0: 0.545938140488 0.0323031
20. Mar 00:50:07, Step 0: 0.547102664431 0.0322457
20. Mar 02:12:16, Step 0: 0.54830445314 0.0322667
20. Mar 03:48:04, Step 0: 0.548621203652 0.0321524
20. Mar 05:42:40, Step 0: 0.551062045836 0.0322585
20. Mar 07:52:03, Step 0: 0.550857089622 0.0320856
20. Mar 10:10:51, Step 0: 0.551798024967 0.0321788
20. Mar 12:25:13, Step 0: 0.550447177194 0.0321344
20. Mar 14:32:31, Step 0: 0.551583752562 0.0320938
20. Mar 16:25:16, Step 0: 0.551742127818 0.0320175
20. Mar 18:31:28, Step 0: 0.5512111049 0.0318575
20. Mar 20:56:56, Step 0: 0.553670579467 0.0319412
20. Mar 23:19:36, Step 0: 0.552673746972 0.0318986
21. Mar 00:54:35, Step 0: 0.555487236818 0.0318091
21. Mar 02:53:20, Step 0: 0.554946897708 0.0319537
21. Mar 04:53:33, Step 0: 0.555738773989 0.0317179
21. Mar 07:21:38, Step 0: 0.556810136016 0.0316624
21. Mar 10:05:44, Step 0: 0.555068008198 0.0317169
21. Mar 12:45:30, Step 0: 0.557210732253 0.0317081
2.5e-5
21. Mar 15:28:02, Step 0: 0.557210732253 0.0317081
21. Mar 17:47:17, Step 0: 0.559064654369 0.0315134
21. Mar 20:01:29, Step 0: 0.559949692566 0.0314104
21. Mar 21:35:26, Step 0: 0.558859698155 0.0315729
21. Mar 22:45:52, Step 0: 0.560480715484 0.0314533
22. Mar 00:49:03, Step 0: 0.560285075461 0.0314421
22. Mar 03:06:17, Step 0: 0.559530463946 0.0314339
22. Mar 05:33:28, Step 0: 0.560061486864 0.0314464
22. Mar 07:58:36, Step 0: 0.559577044904 0.0313738
22. Mar 10:16:45, Step 0: 0.560592509782 0.0313888
22. Mar 12:33:36, Step 0: 0.560685671697 0.0313351
22. Mar 14:56:06, Step 0: 0.561076951742 0.0313745
22. Mar 17:11:25, Step 0: 0.562343953792 0.0313381
22. Mar 19:23:57, Step 0: 0.560909260294 0.0313643
1e-5
22. Mar 21:11:05, Step 0: 0.560909260294 0.0313643
22. Mar 23:20:52, Step 0: 0.562343953792 0.0312565
23. Mar 01:40:46, Step 0: 0.562949506242 0.0312977
23. Mar 03:54:34, Step 0: 0.562558226197 0.0312388
23. Mar 05:41:47, Step 0: 0.563266256754 0.031235
23. Mar 07:26:50, Step 0: 0.563014719583 0.0312399
23. Mar 09:16:33, Step 0: 0.562884292901 0.0312151
23. Mar 11:31:00, Step 0: 0.564412148314 0.0312179
23. Mar 13:26:54, Step 0: 0.563638904416 0.0311952
23. Mar 14:41:04, Step 0: 0.562148313769 0.0312071
23. Mar 16:27:38, Step 0: 0.564300354015 0.0312668
23. Mar 18:33:44, Step 0: 0.564160611142 0.0311694
23. Mar 20:59:29, Step 0: 0.563378051053 0.0311715
