1e-4
17. Mar 21:19:20, Step 0: 0 nan
17. Mar 23:21:25, Step 0: 0 0.045172
18. Mar 01:20:40, Step 0: 0 0.0394703
18. Mar 03:30:55, Step 0: 0 0.0378103
18. Mar 05:39:17, Step 0: 0 0.0367736
18. Mar 08:05:00, Step 0: 0 0.0360201
18. Mar 10:30:52, Step 0: 0 0.0353837
18. Mar 12:44:56, Step 0: 0 0.0349087
18. Mar 14:54:19, Step 0: 0 0.0344616
18. Mar 17:01:18, Step 0: 0 0.0341071
18. Mar 19:17:28, Step 0: 0 0.0337736
18. Mar 21:34:10, Step 0: 0 0.0335014
19. Mar 00:08:44, Step 0: 0 0.0332678
19. Mar 02:19:51, Step 0: 0 0.0330192
19. Mar 04:19:11, Step 0: 0 0.0327823
19. Mar 06:33:36, Step 0: 0 0.0326095
19. Mar 08:53:49, Step 0: 0 0.0325033
19. Mar 11:34:47, Step 0: 0 0.0323613
19. Mar 14:10:18, Step 0: 0 0.0322108
19. Mar 16:43:05, Step 0: 0 0.032055
19. Mar 19:16:38, Step 0: 0 0.0320235
5e-5
19. Mar 19:16:38, Step 0: 0 0.0320235
19. Mar 22:42:41, Step 0: 0 0.0316925
20. Mar 00:50:07, Step 0: 0 0.0316225
20. Mar 02:12:17, Step 0: 0 0.0314657
20. Mar 03:48:05, Step 0: 0 0.0315103
20. Mar 05:42:40, Step 0: 0 0.0314587
20. Mar 07:52:03, Step 0: 0 0.0313844
20. Mar 10:10:51, Step 0: 0 0.0313165
20. Mar 12:25:13, Step 0: 0 0.0313021
20. Mar 14:32:31, Step 0: 0 0.0312755
20. Mar 16:25:16, Step 0: 0 0.0312647
20. Mar 18:31:28, Step 0: 0 0.0311353
20. Mar 20:56:56, Step 0: 0 0.0311438
20. Mar 23:19:36, Step 0: 0 0.0310257
21. Mar 00:54:35, Step 0: 0 0.0310329
21. Mar 02:53:20, Step 0: 0 0.0310413
21. Mar 04:53:33, Step 0: 0 0.0310171
21. Mar 07:21:38, Step 0: 0 0.0309286
21. Mar 10:05:44, Step 0: 0 0.0309318
21. Mar 12:45:30, Step 0: 0 0.0308869
2.5e-5
21. Mar 12:45:30, Step 0: 0 0.0308869
21. Mar 17:47:17, Step 0: 0 0.030756
21. Mar 20:04:59, Step 0: 0 0.0307703
21. Mar 22:14:57, Step 0: 0 0.0306605
22. Mar 00:41:59, Step 0: 0 0.0306843
22. Mar 03:06:17, Step 0: 0 0.0306571
22. Mar 05:33:28, Step 0: 0 0.0306624
22. Mar 07:58:36, Step 0: 0 0.0306693
22. Mar 10:16:45, Step 0: 0 0.0306929
22. Mar 12:33:36, Step 0: 0 0.0306236
22. Mar 14:56:06, Step 0: 0 0.0306091
22. Mar 17:11:25, Step 0: 0 0.0306294
22. Mar 19:23:57, Step 0: 0 0.0305955
1e-5
22. Mar 19:23:57, Step 0: 0 0.0305955
22. Mar 23:20:52, Step 0: 0 0.0304954
23. Mar 01:40:46, Step 0: 0 0.0305443
23. Mar 03:54:34, Step 0: 0 0.0305414
23. Mar 05:41:47, Step 0: 0 0.0305329
23. Mar 07:26:50, Step 0: 0 0.0304771
23. Mar 09:16:33, Step 0: 0 0.0304622
23. Mar 11:31:00, Step 0: 0 0.0305276
23. Mar 13:26:54, Step 0: 0 0.0304516
23. Mar 14:41:04, Step 0: 0 0.0304901
23. Mar 16:27:38, Step 0: 0 0.0303901
23. Mar 18:33:44, Step 0: 0 0.0303824
23. Mar 20:59:29, Step 0: 0 0.0304889
