1e-4
17. Mar 21:18:54, Step 0: 0.182355133222 0.331759
17. Mar 23:37:26, Step 0: 0.48107881498 0.0347832
18. Mar 01:39:51, Step 0: 0.50344699087 0.0333658
18. Mar 03:46:24, Step 0: 0.512437115707 0.0327592
18. Mar 05:54:44, Step 0: 0.523383640768 0.0320011
18. Mar 08:11:38, Step 0: 0.532653251351 0.0315109
18. Mar 10:43:39, Step 0: 0.536361095584 0.0311589
18. Mar 13:01:07, Step 0: 0.539193217813 0.0310264
18. Mar 15:22:33, Step 0: 0.543543879262 0.0308727
18. Mar 17:53:48, Step 0: 0.543739519285 0.0307398
18. Mar 20:16:19, Step 0: 0.550409912428 0.0303796
18. Mar 22:47:47, Step 0: 0.551127259176 0.0303071
19. Mar 01:26:23, Step 0: 0.551406744923 0.0303075
19. Mar 04:02:41, Step 0: 0.55344699087 0.0301424
19. Mar 06:35:33, Step 0: 0.554061859512 0.0301057
19. Mar 09:12:15, Step 0: 0.555934414012 0.0298146
19. Mar 11:51:07, Step 0: 0.557331842743 0.0298437
19. Mar 14:18:54, Step 0: 0.563126513881 0.0296172
19. Mar 16:54:07, Step 0: 0.560210545929 0.0296517
19. Mar 19:24:52, Step 0: 0.563405999627 0.0295137
5e-5
19. Mar 20:19:32, Step 0: 0.563405999627 0.0295137
19. Mar 23:02:27, Step 0: 0.567812558226 0.0292714
20. Mar 01:08:46, Step 0: 0.569815539407 0.0292132
20. Mar 03:24:21, Step 0: 0.569666480343 0.0291701
20. Mar 05:44:45, Step 0: 0.570095025154 0.0290672
20. Mar 08:11:52, Step 0: 0.570952114775 0.0291115
20. Mar 10:35:17, Step 0: 0.571185019564 0.0290478
20. Mar 13:02:52, Step 0: 0.571240916713 0.0290917
20. Mar 15:34:05, Step 0: 0.572703558785 0.0290525
20. Mar 18:24:46, Step 0: 0.573625861748 0.0289819
20. Mar 21:06:20, Step 0: 0.572964412148 0.0289411
20. Mar 23:47:15, Step 0: 0.57261039687 0.0289198
21. Mar 02:33:58, Step 0: 0.57248928638 0.0288907
21. Mar 04:53:33, Step 0: 0.571529718651 0.0289467
21. Mar 07:39:20, Step 0: 0.573411589342 0.0289847
21. Mar 10:24:39, Step 0: 0.572582448295 0.0288477
21. Mar 13:22:45, Step 0: 0.573625861748 0.0288053
2.5e-5
21. Mar 15:27:13, Step 0: 0.573625861748 0.0288053
21. Mar 17:59:33, Step 0: 0.575479783864 0.0287092
21. Mar 20:16:15, Step 0: 0.576439351593 0.0287248
21. Mar 22:17:32, Step 0: 0.57901993665 0.0286822
22. Mar 00:50:39, Step 0: 0.579122414757 0.0286084
22. Mar 03:21:30, Step 0: 0.577492081237 0.0286438
22. Mar 05:43:10, Step 0: 0.57914104714 0.0286215
22. Mar 08:00:32, Step 0: 0.579234209055 0.0286558
22. Mar 10:36:27, Step 0: 0.577501397429 0.0286434
22. Mar 13:21:50, Step 0: 0.578619340414 0.0286489
22. Mar 16:10:13, Step 0: 0.579951555804 0.0286001
22. Mar 19:09:38, Step 0: 0.579932923421 0.0285537
1e-5
22. Mar 21:10:14, Step 0: 0.579932923421 0.0285537
22. Mar 23:34:41, Step 0: 0.581805477921 0.028509
23. Mar 02:03:49, Step 0: 0.581600521707 0.028503
23. Mar 04:29:31, Step 0: 0.580305571083 0.0285169
23. Mar 06:54:56, Step 0: 0.580193776784 0.0285434
23. Mar 09:17:22, Step 0: 0.581572573132 0.0284717
23. Mar 11:47:01, Step 0: 0.580445313956 0.0285145
23. Mar 14:14:13, Step 0: 0.582234022732 0.028461
23. Mar 16:29:02, Step 0: 0.581265138811 0.0284827
23. Mar 18:44:55, Step 0: 0.582420346562 0.0284606
23. Mar 21:19:13, Step 0: 0.581656418856 0.0284663
