03. 13:41:05, batch 1,  convothello.ckpt wr: 0.46,  wr: 0.49
03. 13:42:02, batch 2,  convothello.ckpt wr: 0.59, nvothello/drill_1.ckpt wr: 0.39
03. 13:43:01, batch 3,  convothello.ckpt wr: 0.46, nvothello/drill_2.ckpt wr: 0.52
03. 13:44:04, batch 4,  convothello.ckpt wr: 0.52, nvothello/drill_3.ckpt wr: 0.45
03. 13:45:07, batch 5,  convothello.ckpt wr: 0.50, nvothello/drill_2.ckpt wr: 0.47
03. 13:46:09, batch 6,  convothello.ckpt wr: 0.44, nvothello/drill_1.ckpt wr: 0.53
03. 13:47:12, batch 7,  convothello.ckpt wr: 0.47, nvothello/drill_6.ckpt wr: 0.50
03. 13:48:14, batch 8,  convothello.ckpt wr: 0.50, nvothello/drill_3.ckpt wr: 0.48
03. 13:49:14, batch 9,  convothello.ckpt wr: 0.49, nvothello/drill_4.ckpt wr: 0.50
03. 13:50:18, batch 10,  convothello.ckpt wr: 0.52, nvothello/drill_1.ckpt wr: 0.47
03. 13:51:19, batch 11,  convothello.ckpt wr: 0.54, nvothello/drill_6.ckpt wr: 0.45
03. 13:52:21, batch 12,  convothello.ckpt wr: 0.51, nvothello/drill_11.ckpt wr: 0.45
03. 13:53:23, batch 13,  convothello.ckpt wr: 0.51, nvothello/drill_4.ckpt wr: 0.46
03. 13:54:26, batch 14,  convothello.ckpt wr: 0.57, nvothello/drill_5.ckpt wr: 0.41
03. 13:55:27, batch 15,  convothello.ckpt wr: 0.45, nvothello/drill_9.ckpt wr: 0.48
03. 13:56:32, batch 16,  convothello.ckpt wr: 0.55, nvothello/drill_12.ckpt wr: 0.42
03. 13:57:33, batch 17,  convothello.ckpt wr: 0.41, nvothello/drill_8.ckpt wr: 0.56
03. 13:58:33, batch 18,  convothello.ckpt wr: 0.50, nvothello/drill_4.ckpt wr: 0.48
03. 13:59:35, batch 19,  convothello.ckpt wr: 0.51, nvothello/drill_10.ckpt wr: 0.46
03. 14:00:34, batch 20,  convothello.ckpt wr: 0.49, nvothello/drill_18.ckpt wr: 0.47
03. 14:01:38, batch 21,  convothello.ckpt wr: 0.52, nvothello/drill_19.ckpt wr: 0.46
03. 14:02:40, batch 22,  convothello.ckpt wr: 0.45, nvothello/drill_20.ckpt wr: 0.52
03. 14:03:43, batch 23,  convothello.ckpt wr: 0.48, nvothello/drill_7.ckpt wr: 0.46
03. 14:04:44, batch 24,  convothello.ckpt wr: 0.54, nvothello/drill_3.ckpt wr: 0.45
03. 14:05:48, batch 25,  convothello.ckpt wr: 0.45, nvothello/drill_3.ckpt wr: 0.51
03. 14:06:50, batch 26,  convothello.ckpt wr: 0.50, nvothello/drill_12.ckpt wr: 0.47
03. 14:07:53, batch 27,  convothello.ckpt wr: 0.48, nvothello/drill_10.ckpt wr: 0.51
03. 14:08:54, batch 28,  convothello.ckpt wr: 0.49, nvothello/drill_4.ckpt wr: 0.49
03. 14:09:59, batch 29,  convothello.ckpt wr: 0.52, nvothello/drill_27.ckpt wr: 0.44
03. 14:11:02, batch 30,  convothello.ckpt wr: 0.43, nvothello/drill_13.ckpt wr: 0.55
03. 14:12:05, batch 31,  convothello.ckpt wr: 0.51, nvothello/drill_12.ckpt wr: 0.46
03. 14:13:10, batch 32,  convothello.ckpt wr: 0.58, nvothello/drill_6.ckpt wr: 0.39
03. 14:14:12, batch 33,  convothello.ckpt wr: 0.60, nvothello/drill_7.ckpt wr: 0.37
03. 14:15:14, batch 34,  convothello.ckpt wr: 0.52, nvothello/drill_13.ckpt wr: 0.45
03. 14:16:15, batch 35,  convothello.ckpt wr: 0.51, nvothello/drill_6.ckpt wr: 0.46
03. 14:17:20, batch 36,  convothello.ckpt wr: 0.54, nvothello/drill_12.ckpt wr: 0.46
03. 14:18:25, batch 37,  convothello.ckpt wr: 0.52, nvothello/drill_17.ckpt wr: 0.46
03. 14:19:27, batch 38,  convothello.ckpt wr: 0.45, nvothello/drill_23.ckpt wr: 0.55
03. 14:20:31, batch 39,  convothello.ckpt wr: 0.53, nvothello/drill_4.ckpt wr: 0.45
03. 14:21:32, batch 40,  convothello.ckpt wr: 0.52, nvothello/drill_14.ckpt wr: 0.44
03. 14:22:39, batch 41,  convothello.ckpt wr: 0.55, nvothello/drill_30.ckpt wr: 0.43
03. 14:23:42, batch 42,  convothello.ckpt wr: 0.51, nvothello/drill_29.ckpt wr: 0.45
03. 14:24:43, batch 43,  convothello.ckpt wr: 0.48, nvothello/drill_42.ckpt wr: 0.49
03. 14:25:45, batch 44,  convothello.ckpt wr: 0.53, nvothello/drill_42.ckpt wr: 0.43
03. 14:26:50, batch 45,  convothello.ckpt wr: 0.49, nvothello/drill_37.ckpt wr: 0.48
03. 14:27:55, batch 46,  convothello.ckpt wr: 0.57, nvothello/drill_40.ckpt wr: 0.42
03. 14:28:56, batch 47,  convothello.ckpt wr: 0.53, nvothello/drill_45.ckpt wr: 0.47
03. 14:29:59, batch 48,  convothello.ckpt wr: 0.49, nvothello/drill_7.ckpt wr: 0.48
03. 14:31:03, batch 49,  convothello.ckpt wr: 0.58, nvothello/drill_29.ckpt wr: 0.41
03. 14:32:04, batch 50,  convothello.ckpt wr: 0.49, nvothello/drill_15.ckpt wr: 0.49
03. 14:33:05, batch 51,  convothello.ckpt wr: 0.55, nvothello/drill_6.ckpt wr: 0.44
03. 14:34:10, batch 52,  convothello.ckpt wr: 0.54, nvothello/drill_35.ckpt wr: 0.43
03. 14:35:14, batch 53,  convothello.ckpt wr: 0.51, nvothello/drill_22.ckpt wr: 0.47
03. 14:36:18, batch 54,  convothello.ckpt wr: 0.49, nvothello/drill_50.ckpt wr: 0.49
03. 14:37:22, batch 55,  convothello.ckpt wr: 0.45, nvothello/drill_33.ckpt wr: 0.53
03. 14:38:24, batch 56,  convothello.ckpt wr: 0.47, nvothello/drill_24.ckpt wr: 0.51
03. 14:39:27, batch 57,  convothello.ckpt wr: 0.53, nvothello/drill_19.ckpt wr: 0.45
03. 14:40:32, batch 58,  convothello.ckpt wr: 0.51, nvothello/drill_33.ckpt wr: 0.48
03. 14:41:35, batch 59,  convothello.ckpt wr: 0.45, nvothello/drill_37.ckpt wr: 0.51
03. 14:42:40, batch 60,  convothello.ckpt wr: 0.48, nvothello/drill_32.ckpt wr: 0.48
03. 14:43:45, batch 61,  convothello.ckpt wr: 0.42, nvothello/drill_44.ckpt wr: 0.55
03. 14:44:51, batch 62,  convothello.ckpt wr: 0.50, nvothello/drill_46.ckpt wr: 0.47
03. 14:45:54, batch 63,  convothello.ckpt wr: 0.48, nvothello/drill_7.ckpt wr: 0.50
03. 14:46:57, batch 64,  convothello.ckpt wr: 0.52, nvothello/drill_18.ckpt wr: 0.43
03. 14:48:01, batch 65,  convothello.ckpt wr: 0.45, nvothello/drill_28.ckpt wr: 0.53
