vs. tiny-selfplay-2

                      eta = 0 (zero),
                     discount_factor = 0 (zero),

10. Oct 09:41:31, Step 4200, first = 30, second = 70
10. Oct 09:42:47, Step 4300, first = 25, second = 69
10. Oct 09:44:03, Step 4400, first = 37, second = 57
10. Oct 09:45:17, Step 4500, first = 32, second = 63
10. Oct 09:46:31, Step 4600, first = 27, second = 69
10. Oct 09:47:46, Step 4700, first = 33, second = 62
10. Oct 09:49:00, Step 4800, first = 30, second = 66
10. Oct 09:50:16, Step 4900, first = 29, second = 67
10. Oct 09:51:30, Step 5000, first = 30, second = 67
10. Oct 09:52:46, Step 5100, first = 26, second = 71	
10. Oct 09:54:06, Step 5200, first = 27, second = 70


                      eta = 1e-4,
                     discount_factor=0.99,

10. Oct 09:56:34, Step 0, first = 0, second = 0
10. Oct 09:59:24, Step 100, first = 36, second = 59
10. Oct 10:02:09, Step 200, first = 50, second = 46
10. Oct 10:04:49, Step 300, first = 36, second = 63
10. Oct 10:07:34, Step 400, first = 39, second = 56
10. Oct 10:10:17, Step 500, first = 47, second = 52
10. Oct 10:12:53, Step 600, first = 50, second = 48
10. Oct 10:15:33, Step 700, first = 42, second = 56
10. Oct 10:18:19, Step 800, first = 46, second = 49
10. Oct 10:21:07, Step 900, first = 57, second = 39
10. Oct 10:23:43, Step 1000, first = 45, second = 52
10. Oct 10:26:19, Step 1100, first = 48, second = 50
10. Oct 10:28:51, Step 1200, first = 54, second = 43
10. Oct 10:31:26, Step 1300, first = 36, second = 61
10. Oct 10:33:58, Step 1400, first = 43, second = 54
10. Oct 10:36:31, Step 1500, first = 49, second = 49

                     eta = 5e-5,
                     discount_factor=1

10. Oct 10:44:58, Step 0: first = 0, second = 0
10. Oct 10:47:39, Step 100: first = 38, second = 58
10. Oct 10:50:18, Step 200: first = 41, second = 57
10. Oct 10:52:51, Step 300: first = 32, second = 64
10. Oct 10:55:28, Step 400: first = 45, second = 50
10. Oct 10:58:21, Step 500: first = 47, second = 48
10. Oct 11:01:17, Step 600: first = 46, second = 51

                     eta = 5e-5, (ditto)
                     discount_factor=1

10. Oct 11:06:50, Step 100: first = 48, second = 48
10. Oct 11:06:51, Step 100: first total winrate = 0.48, second total winrate = 0.48
10. Oct 11:09:41, Step 200: first = 37, second = 61
10. Oct 11:09:41, Step 200: first total winrate = 0.42, second total winrate = 0.55
10. Oct 11:12:19, Step 300: first = 40, second = 59
10. Oct 11:12:20, Step 300: first total winrate = 0.42, second total winrate = 0.56
10. Oct 11:15:04, Step 400: first = 51, second = 47
10. Oct 11:15:05, Step 400: first total winrate = 0.44, second total winrate = 0.54
10. Oct 11:17:53, Step 500: first = 39, second = 58
10. Oct 11:17:54, Step 500: first total winrate = 0.43, second total winrate = 0.55
10. Oct 11:20:33, Step 600: first = 46, second = 50
10. Oct 11:20:34, Step 600: first total winrate = 0.43, second total winrate = 0.54
10. Oct 11:23:25, Step 700: first = 48, second = 48
10. Oct 11:23:25, Step 700: first total winrate = 0.44, second total winrate = 0.53
10. Oct 11:26:20, Step 800: first = 50, second = 49
10. Oct 11:26:21, Step 800: first total winrate = 0.45, second total winrate = 0.53
10. Oct 11:29:01, Step 900: first = 45, second = 50
10. Oct 11:29:02, Step 900: first total winrate = 0.45, second total winrate = 0.52
10. Oct 11:31:54, Step 1000: first = 43, second = 52
10. Oct 11:31:55, Step 1000: first total winrate = 0.45, second total winrate = 0.52
