07. Feb 15:45:38, Step 0: 0.508333333333 2.31428629557
07. Feb 15:45:42, Step 10: 0.5125 2.3002108256
07. Feb 15:45:45, Step 20: 0.495833333333 2.31714146932
07. Feb 15:45:49, Step 30: 0.4875 2.3282236735
07. Feb 15:45:52, Step 40: 0.470833333333 2.3516321818
07. Feb 15:45:55, Step 50: 0.479166666667 2.35703074137
07. Feb 15:45:58, Step 60: 0.466666666667 2.34012502035
07. Feb 15:46:02, Step 70: 0.5 2.31053441366
07. Feb 15:46:05, Step 80: 0.504166666667 2.29844767253
07. Feb 15:46:08, Step 90: 0.504166666667 2.30228525798
07. Feb 15:46:11, Step 100: 0.5125 2.29362309774
07. Feb 15:46:29, Step 250: 0.475 2.33717651367
07. Feb 15:46:57, Step 500: 0.4875 2.29515304565
07. Feb 15:47:24, Step 750: 0.5 2.27665710449
07. Feb 15:47:53, Step 1000: 0.491666666667 2.26990585327
07. Feb 15:48:20, Step 1250: 0.495833333333 2.27552439372
07. Feb 15:48:52, Step 1500: 0.5 2.291040802
07. Feb 15:49:24, Step 1750: 0.495833333333 2.30746815999
07. Feb 15:49:56, Step 2000: 0.5 2.25287348429
07. Feb 15:50:28, Step 2250: 0.495833333333 2.24676208496
07. Feb 15:51:00, Step 2500: 0.5 2.23862864176
07. Feb 15:51:33, Step 2750: 0.483333333333 2.26949717204
07. Feb 15:52:05, Step 3000: 0.483333333333 2.26163330078
07. Feb 15:52:38, Step 3250: 0.491666666667 2.22873891195
07. Feb 15:53:11, Step 3500: 0.491666666667 2.23627827962
07. Feb 15:53:43, Step 3750: 0.508333333333 2.22687428792
07. Feb 15:54:15, Step 4000: 0.491666666667 2.21482162476
07. Feb 15:54:47, Step 4250: 0.529166666667 2.22902577718
07. Feb 15:55:21, Step 4500: 0.495833333333 2.23475723267
07. Feb 15:55:54, Step 4750: 0.495833333333 2.23546524048
07. Feb 15:56:27, Step 5000: 0.466666666667 2.21043395996
07. Feb 15:57:00, Step 5250: 0.5 2.2075881958
07. Feb 15:57:32, Step 5500: 0.508333333333 2.19110031128
07. Feb 15:58:05, Step 5750: 0.4875 2.28554382324
07. Feb 15:58:37, Step 6000: 0.45 2.30613479614
07. Feb 15:59:10, Step 6250: 0.520833333333 2.18698654175
07. Feb 15:59:44, Step 6500: 0.5125 2.22447713216
07. Feb 16:00:16, Step 6750: 0.508333333333 2.19887339274
07. Feb 16:00:50, Step 7000: 0.516666666667 2.193968455
07. Feb 16:01:23, Step 7250: 0.529166666667 2.16743520101
07. Feb 16:01:56, Step 7500: 0.525 2.18666559855
07. Feb 16:02:30, Step 7750: 0.5 2.19388783773
07. Feb 16:03:04, Step 8000: 0.470833333333 2.21010055542
07. Feb 16:03:38, Step 8250: 0.5125 2.19353230794
07. Feb 16:04:12, Step 8500: 0.5 2.18176218669
07. Feb 16:04:46, Step 8750: 0.508333333333 2.19833831787
07. Feb 16:05:20, Step 9000: 0.491666666667 2.1858215332
07. Feb 16:05:54, Step 9250: 0.479166666667 2.21831919352
07. Feb 16:06:27, Step 9500: 0.508333333333 2.16521937052
07. Feb 16:07:00, Step 9750: 0.504166666667 2.15226618449
07. Feb 16:07:33, Step 10000: 0.520833333333 2.17484842936
07. Feb 16:08:06, Step 10250: 0.5125 2.15233128866
07. Feb 16:08:39, Step 10500: 0.529166666667 2.17279663086
07. Feb 16:09:12, Step 10750: 0.516666666667 2.14998753866
07. Feb 16:09:46, Step 11000: 0.533333333333 2.14619394938
07. Feb 16:10:19, Step 11250: 0.495833333333 2.18158772786
07. Feb 16:10:54, Step 11500: 0.479166666667 2.16378097534
07. Feb 16:11:28, Step 11750: 0.475 2.18328653971
07. Feb 16:12:02, Step 12000: 0.466666666667 2.18753840129
