05. Feb 20:46:38, Step 0: 0.170833333333 289.88655599
05. Feb 20:46:44, Step 20: 0.1625 54.1682250977
05. Feb 20:46:50, Step 40: 0.1875 24.6223754883
05. Feb 20:46:56, Step 60: 0.1875 18.0648681641
05. Feb 20:47:02, Step 80: 0.1875 15.0460693359
05. Feb 20:47:08, Step 100: 0.1875 13.2405090332
05. Feb 20:49:05, Step 1000: 0.366666666667 3.47213745117
05. Feb 20:51:15, Step 2000: 0.3875 2.86581675212
05. Feb 20:53:31, Step 3000: 0.416666666667 2.61366068522
05. Feb 20:55:42, Step 4000: 0.45 2.45221455892
05. Feb 20:57:51, Step 5000: 0.429166666667 2.38448359172
05. Feb 21:00:00, Step 6000: 0.433333333333 2.46495920817
05. Feb 21:02:11, Step 7000: 0.466666666667 2.28448028564
05. Feb 21:04:21, Step 8000: 0.466666666667 2.26573791504
05. Feb 21:06:29, Step 9000: 0.483333333333 2.21071802775
05. Feb 21:08:37, Step 10000: 0.520833333333 2.17957000732
05. Feb 21:10:48, Step 11000: 0.516666666667 2.14778086344
05. Feb 21:13:00, Step 12000: 0.470833333333 2.2780263265
05. Feb 21:15:10, Step 13000: 0.533333333333 2.14496510824
05. Feb 21:17:20, Step 14000: 0.533333333333 2.16595458984
05. Feb 21:19:29, Step 15000: 0.5 2.12192141215
05. Feb 21:21:38, Step 16000: 0.545833333333 2.04009234111
05. Feb 21:23:48, Step 17000: 0.5125 2.09392115275
05. Feb 21:25:58, Step 18000: 0.533333333333 2.06931228638
05. Feb 21:28:15, Step 19000: 0.533333333333 2.13180287679
05. Feb 21:30:29, Step 20000: 0.533333333333 2.08565038045
05. Feb 21:32:51, Step 21000: 0.508333333333 2.07814826965
05. Feb 21:35:15, Step 22000: 0.5625 2.02470118205
05. Feb 21:37:41, Step 23000: 0.541666666667 2.20001424154
05. Feb 21:40:06, Step 24000: 0.516666666667 2.18772837321
05. Feb 21:42:31, Step 25000: 0.554166666667 2.07293497721
05. Feb 21:44:56, Step 26000: 0.504166666667 2.07435887655
05. Feb 21:47:21, Step 27000: 0.554166666667 1.98902231852
05. Feb 21:49:49, Step 28000: 0.5625 2.0379418691
05. Feb 21:52:15, Step 29000: 0.541666666667 1.99922536214
05. Feb 21:54:41, Step 30000: 0.554166666667 2.0197555542
05. Feb 21:57:06, Step 31000: 0.55 1.98880894979
05. Feb 21:59:34, Step 32000: 0.55 2.00684865316
05. Feb 22:02:02, Step 33000: 0.541666666667 1.98679250081
05. Feb 22:04:30, Step 34000: 0.5375 2.01357358297
05. Feb 22:06:56, Step 35000: 0.558333333333 1.97452354431
05. Feb 22:09:24, Step 36000: 0.541666666667 2.02767359416
05. Feb 22:11:43, Step 37000: 0.5 2.15219955444
05. Feb 22:14:01, Step 38000: 0.566666666667 2.00152333577
05. Feb 22:16:20, Step 39000: 0.516666666667 2.05817578634
05. Feb 22:18:34, Step 40000: 0.554166666667 2.0141049703
05. Feb 22:20:50, Step 41000: 0.525 2.22466481527
05. Feb 22:23:05, Step 42000: 0.520833333333 2.13238347371
05. Feb 22:25:19, Step 43000: 0.5125 2.02535235087
05. Feb 22:27:31, Step 44000: 0.554166666667 2.01863810221
05. Feb 22:29:45, Step 45000: 0.5375 1.95965512594
05. Feb 22:32:08, Step 46000: 0.533333333333 2.01245129903
05. Feb 22:34:31, Step 47000: 0.545833333333 1.97735697428
05. Feb 22:36:56, Step 48000: 0.541666666667 2.11175778707
05. Feb 22:39:20, Step 49000: 0.541666666667 2.00093943278
05. Feb 22:41:46, Step 50000: 0.5625 2.02334734599
05. Feb 22:44:10, Step 51000: 0.5375 2.03101755778
05. Feb 22:46:33, Step 52000: 0.541666666667 1.95761349996
05. Feb 22:48:56, Step 53000: 0.529166666667 1.93690210978
05. Feb 22:51:19, Step 54000: 0.5625 2.00890604655
05. Feb 22:53:43, Step 55000: 0.554166666667 2.00827433268
05. Feb 22:56:08, Step 56000: 0.566666666667 2.55875549316
05. Feb 22:58:34, Step 57000: 0.558333333333 1.98664461772
05. Feb 23:00:55, Step 58000: 0.583333333333 2.0348139445
05. Feb 23:03:29, Step 59000: 0.533333333333 1.96752955119
05. Feb 23:06:09, Step 60000: 0.575 1.90724639893
05. Feb 23:08:51, Step 61000: 0.566666666667 1.93199272156
05. Feb 23:11:32, Step 62000: 0.570833333333 1.93517888387
05. Feb 23:14:12, Step 63000: 0.595833333333 1.86662851969
05. Feb 23:16:54, Step 64000: 0.595833333333 1.90884437561
05. Feb 23:19:32, Step 65000: 0.566666666667 1.8832930247
05. Feb 23:22:12, Step 66000: 0.570833333333 1.89054997762
05. Feb 23:24:50, Step 67000: 0.575 1.94498469035
05. Feb 23:27:31, Step 68000: 0.5375 1.97606811523
05. Feb 23:30:09, Step 69000: 0.566666666667 1.93691914876
05. Feb 23:32:48, Step 70000: 0.554166666667 1.88148549398
05. Feb 23:35:25, Step 71000: 0.554166666667 1.89031448364
05. Feb 23:38:04, Step 72000: 0.5625 1.89820696513
05. Feb 23:40:43, Step 73000: 0.566666666667 1.8762134552
05. Feb 23:43:21, Step 74000: 0.529166666667 1.89947166443
05. Feb 23:46:01, Step 75000: 0.554166666667 1.91891949972
05. Feb 23:48:39, Step 76000: 0.583333333333 1.85792414347
05. Feb 23:51:17, Step 77000: 0.525 1.92682723999
05. Feb 23:53:55, Step 78000: 0.5875 1.83426132202
05. Feb 23:56:34, Step 79000: 0.583333333333 1.83315149943
05. Feb 23:59:10, Step 80000: 0.575 1.8495765686
06. Feb 00:01:47, Step 81000: 0.583333333333 1.8416595459
06. Feb 00:04:24, Step 82000: 0.545833333333 1.83844184875
06. Feb 00:07:00, Step 83000: 0.5375 1.87467473348
06. Feb 00:09:38, Step 84000: 0.579166666667 1.85273284912
06. Feb 00:12:16, Step 85000: 0.591666666667 1.85658823649
06. Feb 00:14:56, Step 86000: 0.5625 1.84327341715
06. Feb 00:17:40, Step 87000: 0.6125 1.81613985697
06. Feb 00:20:19, Step 88000: 0.5375 1.92359644572
06. Feb 00:22:59, Step 89000: 0.583333333333 1.89595006307
06. Feb 00:25:39, Step 90000: 0.591666666667 1.83929443359
06. Feb 00:28:21, Step 91000: 0.566666666667 1.88747723897
06. Feb 00:31:03, Step 92000: 0.579166666667 2.05752830505
06. Feb 00:33:46, Step 93000: 0.558333333333 1.91772499084
06. Feb 00:36:28, Step 94000: 0.5625 1.89821065267
06. Feb 00:39:08, Step 95000: 0.595833333333 2.1301226298
06. Feb 00:41:47, Step 96000: 0.55 1.93122914632
06. Feb 00:44:26, Step 97000: 0.55 1.88741798401
06. Feb 00:47:01, Step 98000: 0.558333333333 1.86279881795
06. Feb 00:49:37, Step 99000: 0.579166666667 1.83070805868
06. Feb 00:52:13, Step 100000: 0.6 1.8406162262
06. Feb 00:54:48, Step 101000: 0.545833333333 1.86516787211
06. Feb 00:57:21, Step 102000: 0.6125 1.78264478048
06. Feb 00:59:54, Step 103000: 0.575 1.82392400106
06. Feb 01:02:31, Step 104000: 0.566666666667 1.79573186239
06. Feb 01:05:03, Step 105000: 0.595833333333 1.78151779175
06. Feb 01:07:38, Step 106000: 0.604166666667 1.76809870402
06. Feb 01:10:12, Step 107000: 0.55 1.87570368449
06. Feb 01:12:48, Step 108000: 0.566666666667 1.84867858887
06. Feb 01:15:24, Step 109000: 0.570833333333 1.79332605998
06. Feb 01:17:57, Step 110000: 0.604166666667 1.7587378184
06. Feb 01:20:30, Step 111000: 0.595833333333 1.80683097839
06. Feb 01:23:03, Step 112000: 0.5875 1.76738459269
06. Feb 01:25:38, Step 113000: 0.604166666667 1.77455012004
06. Feb 01:28:14, Step 114000: 0.625 1.78390846252
06. Feb 01:30:50, Step 115000: 0.5875 1.92579116821
06. Feb 01:33:24, Step 116000: 0.583333333333 1.83542556763
06. Feb 01:35:57, Step 117000: 0.5625 1.91049982707
06. Feb 01:36:45, Step 117297: 0.566666666667 1.784923172
06. Feb 08:37:43, Step 0: 0.140262008734 130.124251302
06. Feb 09:46:54, Step 0: 0.163013100437 89.7122314453
06. Feb 11:27:35, Step 0: 0.183333333333 95.9823893229
